# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 280         6.585       53.125      5.20        Eelde       
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# STN,YYYYMMDD,   TG,   TN,   TX
  280,20140101,   65,   49,   88
  280,20140102,   83,   57,  111
  280,20140103,   79,   54,  103
  280,20140104,   71,   55,   82
  280,20140105,   55,   33,   72
  280,20140106,   97,   46,  133
  280,20140107,   98,   82,  113
  280,20140108,   82,   56,   97
  280,20140109,   83,   54,  112
  280,20140110,   64,   39,   82
  280,20140111,   51,   21,   67
  280,20140112,   23,    1,   63
  280,20140113,   50,    4,   89
  280,20140114,   44,   12,   74
  280,20140115,   45,   28,   53
  280,20140116,   68,   51,   82
  280,20140117,   69,   47,   87
  280,20140118,   65,   37,   87
  280,20140119,   46,   25,   61
  280,20140120,   11,    5,   25
  280,20140121,    9,    4,   14
  280,20140122,   13,    8,   21
  280,20140123,   18,    6,   33
  280,20140124,  -12,  -28,    6
  280,20140125,  -12,  -30,    4
  280,20140126,  -34,  -60,   11
  280,20140127,   25,    9,   37
  280,20140128,   33,   -4,   65
  280,20140129,  -22,  -39,   -2
  280,20140130,  -24,  -51,    0
  280,20140131,   -3,  -46,   45
  280,20140201,   52,   34,   75
  280,20140202,   51,   26,   82
  280,20140203,   32,    3,   74
  280,20140204,   48,   17,   91
  280,20140205,   60,   17,   93
  280,20140206,   75,   58,   91
  280,20140207,   73,   41,   97
  280,20140208,   62,   38,   81
  280,20140209,   54,   34,   65
  280,20140210,   43,   10,   72
  280,20140211,   41,   -7,   82
  280,20140212,   50,   20,   82
  280,20140213,   50,   16,   76
  280,20140214,   48,   16,   80
  280,20140215,   95,   65,  115
  280,20140216,   56,   15,   93
  280,20140217,   40,  -15,   85
  280,20140218,   59,   39,   84
  280,20140219,   71,   40,  101
  280,20140220,   78,   45,   96
  280,20140221,   64,   40,   94
  280,20140222,   56,   34,   94
  280,20140223,   71,   36,  111
  280,20140224,   76,   31,  124
  280,20140225,   89,   59,  124
  280,20140226,   67,   22,  113
  280,20140227,   54,   25,   97
  280,20140228,   45,   20,   78
  280,20140301,   42,   12,   72
  280,20140302,   55,    5,  100
  280,20140303,   46,   -7,   89
  280,20140304,   56,  -21,  126
  280,20140305,   55,  -11,  120
  280,20140306,   67,  -11,  129
  280,20140307,   73,    8,  125
  280,20140308,   72,  -33,  143
  280,20140309,  111,   30,  189
  280,20140310,   85,   10,  161
